00000033.png 921.47,262.86;1372.54,256.73;1389,833.04;928.24,837.57
00011978.png 956.32,280.7;1410.92,274.75;1427.11,855.79;959.75,858.59
00012012.png 957.16,280.98;1412.89,275.63;1428.18,855.29;962.06,857.71
00012045.png 958.47,279.91;1415.35,274.28;1430.91,855.92;963.7,857.97
00012078.png 962.21,279.11;1418.81,273.62;1435.05,855.59;967.58,857.9
00012112.png 963.54,278.57;1421.05,272.22;1437.65,857.14;968.32,857.8
00012145.png 965.95,278.77;1423.47,271.61;1440.21,857.13;969.49,858.75
00012178.png 966.54,278.87;1424.73,273.29;1440.83,857.96;970.7,859.75
00012212.png 967.67,279.21;1426.23,273.51;1441.39,857.69;971.77,859
00012245.png 970.36,279.6;1428.81,274.82;1444.35,857.37;973.88,859.3
00012278.png 971.16,279.88;1429.57,273.55;1444.16,857.16;975.21,858.71
00012312.png 971.94,279.74;1430.56,274.18;1446.29,858.94;975.48,860.03
00012345.png 973.25,280.12;1430.54,274.76;1446.6,859.03;976.55,860.09
00012379.png 973.49,280.4;1432,274.6;1447.54,858.45;977.12,859.88
00012412.png 975.03,280.12;1432.77,274.52;1447.07,860.07;977.53,859.89
00012445.png 974.61,280.6;1434.26,275.54;1448.18,861.82;978.09,861.04
00012479.png 975.17,282.3;1433.53,277.19;1448,860.95;979.06,860.77
00012512.png 976.8,282.6;1434.27,277.22;1448.62,862.45;979.62,862.29
00012545.png 976.69,282.47;1435.78,278.7;1450.76,863.03;978.25,863.33
00012579.png 977.84,283.96;1436.13,279.5;1451,864.84;979.33,864.04
00012612.png 977.87,285.05;1436.08,280.48;1450.59,864.78;980.07,864.66
00012645.png 977.28,285.36;1436.55,280.91;1451.44,866.85;979.43,868.91
00012679.png 976.88,286.06;1436.89,282.27;1452.05,868.27;979.44,869.36
00012712.png 976.96,287.34;1435.81,284.53;1451.09,869.59;980.7,868.26
00012746.png 977.41,288.86;1436.5,284.79;1450.03,870.65;979.89,868.52
00012779.png 976.26,288.8;1436.27,285.14;1451.58,870.51;978.39,871.7
00012812.png 977.48,289.9;1437.51,285.82;1451.16,871.75;979.8,871.45
00012846.png 976.64,290.47;1437.08,287.25;1451.57,872.9;979.2,872.92
00012879.png 977.78,293.02;1436.67,287.57;1452.07,874.78;979.92,873.4
00012912.png 977.65,295.17;1436.21,289.94;1451.07,876.11;979.68,876.21
00012946.png 977.28,296.11;1436.44,290.6;1451.61,878.06;979.14,876.54
00012979.png 976.78,296.5;1436.1,292.12;1451.06,877.92;977.65,878.81
00013013.png 975.22,297.99;1434.45,293.88;1450.48,879.55;978.26,880.45
00013046.png 974.91,299.43;1433.81,294.06;1449.18,878.93;978.16,879.55
00013079.png 975.27,300.46;1432.82,294.98;1448.08,880.52;977.61,880.88
00013113.png 973.84,300.13;1432.15,295.36;1448.73,881.9;976.82,882.5
00013146.png 973.23,302.3;1431.1,297.45;1447.36,882.31;976.22,882.71
00013179.png 972.82,303.67;1430.2,298.98;1444.96,882.63;975.49,883.33
00013213.png 972.05,303.71;1429.84,298.74;1446.79,884.71;974.88,885.01
00013246.png 972.26,305.13;1429.59,299.41;1446.35,883.72;975.72,884.51
00013279.png 971.35,304.84;1428.44,300.85;1446.06,884.19;973.68,887.23
00013313.png 971.66,306.23;1426.48,300.96;1446.26,886.36;974.08,887.97
00013346.png 970.15,307.44;1427.89,302.55;1444.47,886.79;973.63,887.55
00013380.png 971.15,307.4;1427.83,302.24;1444.93,887.38;973.87,888.62
00013413.png 970.22,307.71;1427.62,302.27;1444.73,888.53;972.72,889.64
00013446.png 969.14,308.4;1426,304.16;1443.61,887.92;972.91,889.18
00013480.png 968.08,308.93;1425.93,303.98;1442.11,887.7;971.95,889.51
00013513.png 969.41,309.51;1425.2,304.45;1441.76,888.36;972.62,889.94
00013546.png 969.43,308.99;1426.42,303.54;1442.75,888.58;972.95,889.28
00013580.png 968.4,308.28;1425.96,303.35;1443.79,888.61;972.58,890.13
00013613.png 969.14,308.21;1426.45,302.56;1442.99,888.22;973.62,888.25
00013646.png 969.2,307.43;1426.37,301.46;1443.68,887.07;973.52,888.2
00013680.png 969.06,307.68;1426.09,301.42;1442.88,885.25;973.22,888.04
00013713.png 968.15,306.9;1424.57,301.01;1442.76,884.75;971.97,887.06
00013747.png 967.14,307.02;1424.8,300.12;1442.42,885.19;972.28,886.65
00013780.png 967.1,307.36;1423.08,300.85;1441.43,884.34;971.81,885.59
00013813.png 966.8,306.17;1423.15,300.08;1441.26,884.42;971.46,885.63
00013847.png 966.53,305.85;1423.11,298.86;1441.45,883.14;971.27,886.22
00013880.png 967.06,305.5;1423.47,298.82;1441.5,882.29;971.86,885.44
00013913.png 967.14,305.16;1423.75,299.1;1441.51,882.17;971.06,885.3
00013947.png 966.9,305.77;1423.52,299.9;1441.54,882.83;972.18,884.9
00013980.png 965.88,305.43;1422.9,298.35;1441.44,882.7;970.41,885.54
00014014.png 966.37,305;1422.71,297.95;1441.61,883.09;970.68,885.17
00014047.png 965.69,305.28;1422.82,298.92;1439.92,882.71;970.63,883.79
00014080.png 966.62,303.45;1422.61,297.9;1441.15,883.54;971.08,884.91
00014114.png 965.85,304.26;1422.21,298.17;1439.46,882.14;970.36,884.14
00014147.png 965.34,303.61;1422.7,299.02;1440.41,883.2;969.08,885.29
00014180.png 965.27,303.77;1422.28,297.99;1439.86,882.55;968.53,885.84
00014214.png 965.55,303.24;1422.23,297.45;1440.14,881.4;969.57,883.23
00014247.png 966.4,303.06;1422.95,296.4;1440.69,881.08;970.19,882.88
00014280.png 967.4,303.36;1422.84,297.63;1439.51,880.65;970.21,882.7
00014314.png 965.03,301.64;1423.35,296.08;1440.25,880.46;970.39,883.41
00014347.png 964.95,302.02;1423.35,294.87;1439.7,881.02;970.04,882.23
00014381.png 964.57,300.42;1423.53,294.94;1440,879.89;970.26,882.13
00014414.png 966.05,301.69;1423.05,295.07;1439.92,879.44;970.76,880.99
00014447.png 966.69,301.32;1422.47,295.34;1440.36,878.55;970.97,879.83
00014481.png 966.22,300.08;1423.04,293.28;1440.41,877.98;970.63,879.6
00014514.png 965.82,300.05;1421.97,293.58;1439.69,876.26;970.12,879.17
00014547.png 967.12,298.31;1423.87,291.87;1441.78,876;970.56,877.7
00014581.png 966.02,297.76;1423.39,291.42;1442.11,875.21;970.6,878.12
00014614.png 966.91,296.95;1423.95,290.12;1442.38,874.53;972.16,876.27
00014647.png 966.39,294.46;1424.57,289.2;1444.01,872.51;972.68,876.65
00014681.png 967.7,295.68;1424.66,287.82;1442.87,873.63;973.31,875.4
00014714.png 967.19,295.18;1423.54,288.54;1442.19,870.75;973.25,874.84
00014748.png 965.79,293.87;1424.87,286.79;1442.18,871.84;972.28,875
00014781.png 967.26,295.43;1423.45,287.43;1442.06,871.4;972.96,874.88
00014814.png 967.35,295.09;1423.2,287.33;1441.68,870.74;973.31,873.73
00014848.png 965.49,292.92;1424.91,286.53;1443.25,871.53;971.51,875.16
00014881.png 966.77,293.77;1423.54,286.82;1442.74,871.02;971.95,874.2
00014914.png 966.83,294.48;1423.76,286.67;1442.47,871.31;973.08,873.57
00014948.png 967.49,293.79;1423.68,286.38;1441.98,870.21;972.99,872.66
