00000033.png 860.28,220.7;1331,210.38;1341.1,806.58;872.03,813.9
00011711.png 1003.45,250.08;1447.37,214.04;1580.02,596.12;1005.57,630.39
00011745.png 1003.86,254.17;1446.51,218.74;1580.66,602.11;1005.19,636.65
00011778.png 1001.77,257.32;1446.38,222.46;1577.58,602.76;1002.84,634.03
00011811.png 1003.86,261.7;1444.93,228.5;1579.04,608.6;1002.73,638.08
00011845.png 1003.05,267.34;1445.53,234.23;1580.08,615.88;1001.53,645.66
00011878.png 1003.62,272.66;1445.89,240.74;1577.21,616.36;1001.96,644.65
00011911.png 1004.27,280.53;1445.38,250.39;1578.68,624.14;1003.25,651.51
00011945.png 1004.4,284.65;1446.28,254.42;1578.62,628.87;1001.97,655.72
00011978.png 1003.84,289.95;1445.94,260.04;1579.61,637.61;1000.24,664.05
00012012.png 1003.7,293.44;1446.47,264.1;1579.97,641.66;1000.09,669.39
00012045.png 1004.51,296.75;1447.57,267.65;1581.93,644.26;1000.05,669.36
00012078.png 1005.47,299.96;1447.57,271.76;1581.46,644.26;1001.48,668.86
00012112.png 1005.78,301.36;1447.62,272.87;1580.76,643.62;1001.76,668.51
00012145.png 1007.02,300.88;1448.82,271.77;1582,642.29;1003.47,668.13
00012178.png 1006.01,298.71;1449.47,269.47;1585.81,643.23;1002.45,671.32
00012212.png 1007.74,297.99;1448.65,268.88;1585.4,639.7;1004.96,667.57
00012245.png 1007.6,295.52;1450.29,266.55;1587.9,636.41;1004.84,663.01
00012278.png 1009.13,293.12;1451.74,263.57;1585.88,628.9;1005.79,656.84
00012312.png 1010.55,292.29;1452.48,262.51;1587.71,628.01;1007.69,653.76
00012345.png 1010.44,291.35;1452.7,262.61;1587.35,627.76;1008.46,653.25
00012379.png 1010.36,293.98;1452.57,265.57;1586.1,631.01;1007.37,656.8
00012412.png 1011.59,294.97;1455.56,267.34;1590.1,639.14;1006.45,662.15
00012445.png 1012.38,297.32;1455.99,271.37;1587.39,641.83;1006.15,664.29
00012479.png 1012.09,301.95;1455.72,277.15;1585.8,650.37;1004.72,674.9
00012512.png 1012.21,306.43;1455.62,281.6;1584.29,660.79;1003.37,682.49
00012545.png 1012.56,311.06;1455.81,288.07;1582.71,671.08;1002.3,688.93
00012579.png 1013.83,316.74;1458.59,298.19;1580.71,683;999.59,693.79
00012612.png 1015.14,320.1;1460.06,303.42;1579.52,693.42;998.71,701.73
00012645.png 1014.79,323.01;1461.15,308.65;1578.53,703.35;996.07,709.66
00012679.png 1015.46,325.95;1462.16,311.71;1577.3,711.48;995.86,714.79
00012712.png 1015.96,327.3;1462.69,313.7;1575.58,718.6;994.03,721.56
00012746.png 1015.6,326.23;1463.59,315.42;1572.98,722.88;992.05,723.38
00012779.png 1015.97,323.37;1465.85,312.95;1576.41,731.59;991.18,731.17
00012812.png 1015.91,316.94;1465.52,307;1570.39,728.6;989.12,725.39
00012846.png 1015.29,309.25;1465.98,299.83;1569.56,725.07;987.69,721.6
00012879.png 1013.62,301.3;1465.81,292.81;1568.53,722.87;986.41,719.67
00012912.png 1012.71,291.06;1466.88,282.32;1567.81,720.18;983.86,716.3
00012946.png 1010.74,281.82;1465.74,272.85;1562.63,711.91;981.91,709.19
00012979.png 1009.53,272.96;1465.65,263.26;1561.94,709.35;978.93,710.83
00013013.png 1007.14,258.8;1465.79,248.5;1558.71,706.59;976.64,703.29
00013046.png 1005.23,247.76;1465.82,238.35;1557.68,700.75;974.02,695.07
00013079.png 1005.04,236.34;1466.77,228.28;1557.35,695.46;973.72,689.77
00013113.png 1004.69,227.1;1466.72,217.64;1553.99,687.45;973.59,683.19
00013146.png 1004.86,213.9;1467.55,203.4;1552.73,679.95;972.89,674.19
00013179.png 1005.02,198.79;1469.15,189.79;1551.26,670.91;972.97,664.51
00013213.png 1004.52,183.56;1471.44,174.95;1550.31,661.04;972.75,654.79
00013246.png 1004.41,162.05;1474.03,153.98;1550.33,651.19;971.13,642.83
00013279.png 1006.47,148.38;1476.99,140.98;1550.18,640.99;972.61,632.96
00013313.png 1007.54,133.48;1481.63,128.25;1551.25,634.95;973.56,626.56
00013346.png 1010.47,123.77;1486.66,119.36;1552.55,632.92;974.57,622.64
00013380.png 1011.72,115.39;1490.77,112.23;1554.91,633.68;974.56,623.09
00013413.png 1013.64,113.55;1493.32,109.82;1554.89,637.16;975.02,624.99
00013446.png 1013.16,118.8;1495.46,117.32;1553.07,654.29;974.96,639.66
00013480.png 1012.79,126.36;1495.35,126.3;1552.59,671.04;973.96,652.97
00013513.png 1011.74,140.68;1494.32,138.82;1548.45,688.27;971.49,670.1
00013546.png 1008.91,155.78;1493.32,154.29;1545.93,709.13;969.21,689.98
00013580.png 1006.04,168.93;1489.32,167.83;1541.71,727.41;966.64,708.07
00013613.png 1002.33,179.5;1485.48,177.9;1537.37,740.61;964.15,723.38
00013646.png 999.62,187.42;1481.81,185.16;1535.32,752.61;962.21,732.55
00013680.png 993.35,196.57;1474.67,192.62;1526.22,761.03;957.94,743.82
00013713.png 990.33,196.25;1469.14,194.55;1522.76,764.7;955.64,747.66
00013747.png 984.1,194.69;1466.46,192.29;1517.18,764.58;951.29,753.43
00013780.png 982.31,194.54;1460.75,189.4;1511.31,759.69;950.71,745.44
00013813.png 978.2,188.11;1459.12,184.69;1507.74,756.45;947.18,742.78
00013847.png 975.9,183.69;1457.66,179.09;1506.1,756.61;945.74,741.48
00013880.png 974.37,173.83;1461.27,170.41;1508.32,754.93;943.09,742.08
00013913.png 973.02,171.97;1459.96,168.29;1505.47,754.37;943.08,741.65
00013947.png 970.16,170.36;1459.07,168.05;1504.13,759.35;940.2,744.61
00013980.png 966.07,169.5;1456.18,167.13;1501.96,762.34;936.92,747.81
00014014.png 962.66,171.93;1454.58,167.89;1498.18,766.75;934.09,753.43
00014047.png 959.13,175.81;1451.02,172.79;1495.94,775.59;931.3,762.55
00014080.png 951.86,176.13;1449.28,172.9;1493.35,783.66;924.55,772
00014114.png 941.73,178.75;1440.5,173.88;1485.63,789.94;917.45,779.5
00014147.png 933.17,179.9;1431.88,174.69;1476.88,794.48;910.22,783.56
00014180.png 926.27,182.55;1425.07,175.47;1470.14,798.37;904.33,789.57
00014214.png 917.98,181.63;1419.49,174.92;1465.87,801.66;898.23,798.42
00014247.png 911.47,185.11;1412.79,177.03;1456.99,803.68;893.72,799.1
00014280.png 903.13,185.37;1407.96,175.71;1454.25,810.73;887.24,809.06
00014314.png 898.33,186.38;1402.67,178.13;1447.35,812.73;882.13,809.13
00014347.png 890.06,189.02;1394.47,180.84;1436.66,817.93;874.72,815.04
00014381.png 883.13,190.84;1386.74,184.92;1427.23,823.25;867.59,819.3
00014414.png 877.16,192.46;1382.83,188.22;1419.83,825.76;859.75,821.05
00014447.png 875,192.67;1378.78,189.66;1415.09,829.16;854.87,822.68
00014481.png 872.58,195.13;1376.75,192.57;1411.97,835.15;852.32,827.64
00014514.png 870.61,198.55;1374.82,198.64;1406.67,840.45;849.51,834.73
00014547.png 866.83,205.69;1372.33,204.56;1401.05,849.15;846.47,840.99
00014581.png 865.08,211.02;1369.5,210.4;1396.7,854.65;844.97,845.12
00014614.png 864.31,216.26;1372.04,215.64;1396.83,861.93;845.38,856.73
00014647.png 864.61,222.77;1371.49,220.99;1395.91,868.74;847.27,859.91
00014681.png 864.97,228.31;1373.77,225.44;1396.29,876.3;849.64,868.11
00014714.png 866.09,230.38;1376.94,228.1;1399.52,882.05;852.75,875.2
00014748.png 866.09,231.76;1377.23,229.17;1400.73,884.49;854.17,877.09
00014781.png 864.68,232.38;1377.73,228.54;1400.6,886.19;856.33,882.41
00014814.png 865.43,237.67;1379.72,231.65;1400.33,889.83;858.96,886.23
00014848.png 866.99,241.13;1383.4,235.51;1405.12,898.96;861.04,898.42
00014881.png 870.19,243.97;1387.79,237.15;1406.59,901.84;865.37,897.67
00014914.png 873.53,247.19;1391.37,240.73;1409.12,904.26;868.91,900.72
00014948.png 876.3,252.69;1394.5,246.59;1410.63,910.77;871.91,905.66
00014981.png 879.8,259.02;1399.4,253.97;1413.08,921.58;874.79,915.27
00015015.png 881.42,260.63;1402.43,257.39;1415.06,926.26;875.16,920.17
00015048.png 882.91,259.7;1406.77,257.57;1417.45,932.04;876.12,925.94
00015081.png 885.01,259.81;1407.17,258.13;1417.36,928.42;877.29,920.49
00015115.png 884.77,257.65;1408.55,254.26;1416.28,926.87;877.21,917.63
00015148.png 883.86,253.63;1407.95,251.25;1416.58,924.18;876.33,915.23
