00000066.png 542,252.33;1129.41,245.14;1146.17,845.59;528.99,855.68;
00011511.png 762.58,868.32;657.2,280.29;1266.59,161.6;1370.32,784.92;
00011544.png 760.68,862.3;663.59,274.34;1268.84,164.03;1366.77,787.03;
00011578.png 754,859.62;664.32,269.5;1277.56,166.83;1363.36,792.66;
00011611.png 749.42,854.02;671.23,262.47;1284.24,172.2;1358.76,799.57;
00011644.png 745.63,852.05;674.39,259.47;1289.01,177.37;1354.79,804.21;
00011678.png 742.88,849.04;678.87,255.61;1294.88,180.24;1353.7,808.71;
00011711.png 739.97,844.54;683.19,250.19;1299.63,182.88;1351.04,810.79;
00011745.png 735.69,837.82;689.1,242.21;1305.8,184.77;1347.9,814.51;
00011778.png 733.2,833.78;693.11,236.42;1312.35,184.98;1346.96,816.68;
00011811.png 730.47,829.88;696.19,233.41;1316.51,188.88;1345.37,819.11;
00011845.png 727.59,827.75;702.11,232.17;1320.92,195.22;1340.21,826.6;
00011878.png 725.03,824.61;705.47,228.81;1324.33,199.36;1336.74,829.03;
00011911.png 722.5,820.03;709.95,227.92;1325.63,203.22;1332.36,831.89;
00011945.png 719.32,819.29;709.97,223.35;1330.24,205.5;1330.24,834.33;
00011978.png 713.09,818.01;713.57,222.27;1331.41,213.15;1323.93,838.93;
00012012.png 706.09,814.66;714.65,220.88;1332.3,218.01;1319.46,848.3;
00012045.png 703.24,815.98;717.16,218.7;1337.62,224.79;1316.61,852.91;
00012078.png 700.55,815.16;720.25,216.49;1340.61,229.57;1310.54,858.93;
00012112.png 691.47,810.84;723.54,217.16;1339.93,240.18;1301.53,864.76;
00012145.png 685.36,809.37;724.48,212.27;1344.36,244.56;1296.87,870.41;
00012178.png 679.61,808.41;726.7,210.18;1346.91,249.7;1290.99,879.08;
00012212.png 671.98,803.74;729.63,204.75;1350.19,257.03;1281.74,885.12;
00012245.png 666.56,798.2;731.7,202.27;1350.23,262.22;1274.51,886.98;
00012278.png 661.66,793.21;735.5,198.15;1349.22,267.33;1267.6,887.88;
00012312.png 655.23,787.29;735.12,193.24;1346.5,269.65;1258.28,887.45;
00012345.png 640.48,781.67;737.47,187.89;1349.42,275.38;1248.14,892.11;
00012379.png 634.74,775.53;735.37,180.58;1350.06,278.68;1238.53,897.55;
00012412.png 626.71,770.79;735.92,177.13;1350.07,283.16;1228.87,901.67;
00012445.png 618.77,768.39;735.88,174.29;1349.38,289.08;1220.51,907.16;
00012479.png 605.52,763.68;737.53,171.23;1348.15,299.41;1207.13,915.47;
00012512.png 597.37,760;737.1,169.74;1346.19,306.33;1196.32,920.9;
00012545.png 590.52,757.65;738.83,168.88;1344.61,315.37;1186.1,924.63;
00012579.png 582.77,748.79;743.12,168.55;1340.27,325.12;1173.19,927.08;
00012612.png 577.28,742.82;745.68,164.34;1338.51,330.08;1162.61,928.19;
00012645.png 572.07,736.4;748.44,158.3;1343.67,334.71;1155.96,933.56;
00012679.png 567.63,727.86;753.67,154.59;1345.9,338.27;1149.3,935.03;
00012712.png 566.66,713.79;760.83,149.96;1345.18,341.37;1138.64,927.3;
00012746.png 565.31,706.72;769.13,142.41;1349.62,344.41;1135.31,927.95;
00012779.png 563.09,700.21;774.6,134.7;1356.25,347.27;1131.93,932.16;
00012812.png 563.47,692.13;782.67,130.3;1361.85,350.13;1129.35,932.04;
00012846.png 562.9,682.21;792.39,124.86;1368.47,355.35;1124.86,931.97;
00012879.png 561.8,675.38;799.24,120.41;1371.69,360.42;1119.28,933.82;
00012912.png 562.38,666.77;805.78,118.49;1373.33,363.82;1115.41,930.18;
00012946.png 561.07,655.86;818.44,109.54;1382.83,369.02;1109.47,933.13;
00012979.png 560.15,649.03;826.14,106.6;1386.44,375.51;1104.74,935.71;
00013013.png 558.47,640.89;832.6,103;1388.17,381.04;1097.25,936.65;
00013046.png 556.78,633.04;840.04,100.11;1390.85,387.14;1089.99,937.64;
00013079.png 554.26,621.14;853.08,95.51;1394.96,396.51;1079.95,938.95;
00013113.png 552.09,612.09;859.84,95.52;1394.01,404.57;1072.12,937.21;
00013146.png 551.08,604.16;867.14,90.15;1398.79,409.45;1066.64,939.81;
00013179.png 548.98,596.1;875.31,87.71;1400.59,417.23;1058.28,941.85;
00013213.png 548.53,583.74;888.94,83.53;1405.09,427.49;1047.82,943.32;
00013246.png 546.56,575.41;896.58,82.57;1407.59,435.92;1041.08,944.97;
00013279.png 549.14,568.15;906.6,80.78;1411.04,443.31;1035.38,945.49;
00013313.png 554.03,559.12;922.54,82.29;1415.68,456.04;1028.34,946.91;
00013346.png 556.07,549.03;933.51,82.57;1419.04,464.43;1023.48,948.51;
00013380.png 559.25,544.18;944.54,83.23;1423.38,474.09;1017.99,949.52;
00013413.png 561.65,536.95;955.29,83.7;1426.36,485.65;1013.48,949.55;
00013446.png 561.19,526.29;969.61,84.56;1428.21,497.83;1003.04,953.3;
00013480.png 563.76,520.12;977.01,87.7;1425.46,506.24;994.39,950.72;
00013513.png 562.64,511.1;987.02,85.67;1432.1,515.82;987.06,956.82;
00013546.png 567.37,502.12;1000.05,91.14;1430.84,530.45;978.68,955.49;
00013580.png 568.16,496.38;1011.17,90.88;1434.22,541.12;969.39,959.97;
00013613.png 566.46,488.54;1019.12,91.47;1432.93,550.43;960.12,960.23;
00013646.png 565.13,483.16;1024.92,93.22;1432.63,560.34;951.18,962.36;
00013680.png 564.69,472.61;1034.53,94.91;1428.81,573.18;936.14,963.23;
00013713.png 561.92,465.12;1039.2,95.51;1425.29,581.23;926.73,962.77;
00013747.png 560.01,458.75;1043.66,98.38;1419.54,588.24;916.44,960.81;
00013780.png 558.93,450.97;1048.37,102.56;1413.86,597.99;906.52,958.63;
00013813.png 554.27,442.54;1055.66,102;1411.62,610.72;890.48,961.37;
00013847.png 556.73,434.73;1060.03,105.37;1404.21,616.34;882.25,956.79;
00013880.png 557.18,427.11;1064.35,107.68;1401.13,622.75;873.98,951.29;
00013913.png 555.15,414.3;1073.92,107.88;1396.94,632.78;857.54,950.93;
00013947.png 556.57,407.42;1080.42,109.9;1393.6,638.76;849.56,947.56;
00013980.png 558.47,400.9;1087.06,111.04;1391.06,646.43;841.79,945.07;
00014014.png 559.14,393.88;1093.62,113.44;1388.28,653.86;832.4,944.09;
00014047.png 561.11,382.01;1101.45,116.59;1382.81,665.1;819.77,938.92;
00014080.png 565.21,373.65;1106.87,120.24;1375.8,669.8;813,934.07;
00014114.png 566.5,366.06;1114.03,122.47;1374.72,677.79;802.94,931.46;
00014147.png 568.07,357.41;1119.38,125.68;1368.28,684.5;794.47,926.56;
00014180.png 568.14,349.02;1125.48,134.56;1356.19,698.73;777.32,923.24;
00014214.png 564.33,342.63;1128.47,136.21;1350.06,709.07;762,923.29;
00014247.png 562.08,336.47;1131.44,142.23;1340.31,716.64;749.48,921.67;
00014280.png 561.95,324.29;1135.11,148.84;1326.35,729.01;732.38,914.77;
00014314.png 564.17,317.67;1138.66,153.48;1318.62,735.02;721.21,910.28;
00014347.png 565.49,305.89;1143.21,153.07;1311.43,736.68;712.34,899.19;
00014381.png 570.49,295.94;1147.24,154.02;1304.95,737.15;704.37,889.14;
00014414.png 576.59,284.33;1152.31,157.45;1296.52,744.48;693.3,879.19;
00014447.png 578.29,278.23;1159.06,161.32;1293.44,748.8;689.3,876.87;
00014481.png 582.99,276.16;1165,165.08;1291.17,754.35;684.12,873.33;
00014514.png 587.47,273.36;1170.29,170.26;1288.76,760.61;682.3,871.77;
00014547.png 596.91,270.01;1179.47,177.87;1287.98,771.29;678.27,869.89;
00014581.png 603.39,266.89;1186.92,183.04;1288.55,776.85;677.33,868.24;
00014614.png 608.25,264.83;1193.93,184.97;1288.88,781.74;676.01,865.26;
00014647.png 617.39,257.53;1205.33,188.36;1290.74,786.42;675.48,862.48;
00014681.png 624.67,253.45;1214.16,189.01;1293.24,789.54;675.57,859.24;
00014714.png 630.33,248.02;1220.75,188.33;1293.95,789.11;676.35,852.19;
00014748.png 637.86,243.69;1227.39,191.4;1294.37,791.93;678.12,847.76;
00014781.png 650.95,237.62;1237.76,195.27;1295.47,795.61;680.42,839.4;
00014814.png 660.78,236.64;1243.84,201.71;1294.81,796.67;685.6,833.97;
00014848.png 666.01,231.88;1253.39,200.3;1298.25,801.25;681.19,834.78;
00014881.png 669.6,230.45;1258.84,201.44;1300.1,805.39;682.49,832.21;
00014914.png 679.22,227.19;1264.27,207.69;1300.56,805.91;685.07,827.18;
00014948.png 680.59,223.79;1270.68,204.15;1302.21,808.32;684.91,825.3;
00014981.png 685.27,219.17;1273.79,205.43;1301.6,806.77;685.14,821.43;
00015015.png 685.63,220.88;1277.66,207.23;1302.55,812.94;682.55,823.26;
