00000033.png 674.95,363;1161.9,350.14;1172.63,663.44;685.01,679
00011778.png 977.54,323.19;1089.15,321.46;1091.9,355.41;977.2,357.49
00011811.png 977.83,326.65;1090.12,325.95;1092.18,358.87;977.14,361.29
00011845.png 975.84,330.49;1087.79,329.11;1090.54,363.06;975.84,364.79
00011878.png 974.92,334.88;1085.5,332.45;1087.9,366.06;974.92,366.75
00011911.png 970.79,337.11;1081.02,334.34;1083.77,368.64;971.13,370.02
00011945.png 966.97,339.56;1075.15,336.79;1078.24,369.01;967.32,371.09
00011978.png 961.1,339.97;1068.24,337.89;1071.68,368.72;961.44,372.19
00012012.png 952.1,340.18;1058.22,337.07;1062,368.25;953.13,371.71
00012045.png 944.03,341.34;1049.8,338.57;1053.23,369.05;945.06,371.82
00012078.png 936.77,342.24;1040.14,339.81;1042.54,368.22;937.12,372.72
00012112.png 925.76,342.43;1030.07,340.7;1032.22,367.55;927.05,370.58
00012145.png 918.98,342.2;1021.66,338.39;1025.44,367.84;920.01,371.3
00012178.png 910.86,342.43;1013.86,337.77;1015.92,365.84;912.21,370.34
00012212.png 903.9,340.41;1006.92,337.64;1009.67,364.66;906.3,369.86
00012245.png 898.74,339.28;1000.39,336.16;1002.8,364.22;900.11,368.04
00012278.png 894.12,339.05;995.43,334.89;998.52,362.26;894.81,366.77
00012312.png 891.83,339.12;991.18,335.79;994.49,363.36;891.83,366.39
00012345.png 887.24,336.9;988.2,334.47;992.67,362.19;888.61,364.61
00012379.png 886.92,335.83;986.17,332.71;990.29,361.12;886.92,363.55
00012412.png 885.61,333.36;985.89,331.63;988.29,357.96;886.3,361.77
00012445.png 883.89,330.36;983.48,327.25;986.23,353.92;884.58,356.35
00012479.png 881.97,325.9;981.56,323.82;983.97,349.81;883,353.27
00012512.png 881.53,321.46;980.43,320.07;982.83,346.4;882.9,347.79
00012545.png 879.28,314.68;978.19,312.6;981.28,339.97;878.6,342.05
00012579.png 879.88,310.92;977.41,309.88;978.78,335.51;879.19,337.94
00012612.png 878.12,305.07;978.39,304.04;979.42,330.37;877.77,332.44
00012645.png 880.69,300.33;979.59,299.29;981.99,324.93;881.37,327.01
00012679.png 884.18,295.3;982.74,293.91;983.77,320.59;883.49,321.28
00012712.png 887.89,291.87;985.76,290.83;988.51,317.86;886.86,318.9
00012746.png 891.1,291.05;990.35,289.32;991.72,316.34;891.1,316.69
00012779.png 896.51,290.39;995.42,288.65;996.79,315.33;896.86,316.72
00012812.png 902.19,290.46;1001.43,290.46;1001.78,315.05;901.84,315.75
00012846.png 906.56,291.33;1005.12,290.64;1006.84,318.01;906.56,318.01
00012879.png 914.33,293.88;1013.92,292.5;1016.33,320.21;915.02,322.29
00012912.png 918.86,295.34;1020.17,295.34;1022.92,323.05;918.86,323.4
00012946.png 923.77,296.94;1025.76,295.21;1027.82,323.27;924.46,325
00012979.png 926.07,296.95;1028.75,294.87;1032.19,324.66;926.42,326.39
00013013.png 928.2,297.48;1030.19,295.75;1032.94,323.47;928.54,325.89
00013046.png 928.75,295.78;1030.4,294.05;1034.87,322.46;929.78,324.54
00013079.png 928.17,293.37;1031.88,292.68;1033.94,320.05;928.85,323.16
00013113.png 927.14,292.64;1031.19,290.56;1035.31,319.66;927.48,321.74
00013146.png 926.48,290.73;1030.54,288.84;1034.89,317.06;927.72,319.88
00013179.png 927.55,288.77;1031.95,287.04;1036.07,315.79;928.58,318.57
00013213.png 927.45,285.54;1033.91,283.11;1038.72,314.99;928.83,316.37
00013246.png 929.11,283.48;1036,281.75;1039.86,310.77;930.4,315.1
00013279.png 929.31,281.72;1038.17,277.57;1044.01,309.79;929.99,313.6
00013313.png 931.32,280.23;1041.56,277.11;1045.33,308.99;932.69,311.76
00013346.png 935.27,280.27;1048.25,276.81;1053.75,311.11;936.99,314.22
00013380.png 940.06,282.88;1053.28,280.17;1058.11,313.73;940.59,316.98
00013413.png 942.7,284.76;1058.78,282.69;1062.55,316.64;943.73,320.45
00013446.png 945.84,288.66;1064.32,286.58;1068.1,322.26;946.53,324.69
00013480.png 949.28,294.76;1068.44,291.99;1072.57,328.36;949.28,331.14
00013513.png 951.93,300.95;1075.56,297.83;1079.68,338.02;952.96,339.4
00013546.png 957.44,308.08;1080.72,307.39;1084.5,346.88;957.44,349.31
00013580.png 958,316.04;1084.37,315.35;1088.15,356.23;958.34,357.96
00013613.png 959.75,321.97;1087.85,320.58;1090.94,362.16;958.72,364.24
00013646.png 959.43,324.58;1090.89,324.58;1092.24,367.21;958.76,369.24
00013680.png 962.15,328.32;1094.36,327.62;1098.14,371.97;962.15,373.36
00013713.png 963.58,331.45;1098.54,330.41;1101.63,376.83;962.9,377.18
00013747.png 964.37,331.83;1100.36,330.1;1103.8,378.25;963.68,379.64
00013780.png 968.64,331.55;1106.87,331.55;1108.59,378.76;966.5,379.62
00013813.png 970.06,331.9;1109.83,331.21;1112.58,381.1;967.66,381.79
00013847.png 971.8,333.44;1113.29,333.1;1116.04,382.99;971.12,383.68
00013880.png 973.35,334.96;1116.89,334.26;1116.55,386.92;972.32,387.62
00013913.png 974.38,337.26;1121.62,337.69;1123.34,390.96;973.95,391.39
00013947.png 977.81,339.94;1126.85,339.94;1128.57,393.64;976.78,395.03
00013980.png 980,345.48;1130.42,344.1;1134.54,401.61;979.66,402.3
00014014.png 983.53,353.08;1134.2,351.78;1139.35,409.37;981.81,410.24
00014047.png 984.64,362.54;1140.21,360.81;1143.64,420.74;983.27,421.78
00014080.png 985.41,375.28;1144.07,372.5;1148.19,434.17;984.72,436.25
00014114.png 987.88,389.98;1150.66,387.55;1156.16,451.65;988.91,454.42
00014147.png 989.89,405.88;1154.39,403.11;1161.6,472.06;989.89,473.09
00014180.png 989.35,424.09;1156.94,420.28;1165.52,490.26;992.1,493.72
00014214.png 988.84,444.6;1163.98,439.75;1171.88,514.23;992.27,519.43
00014247.png 989.37,455.19;1165.19,448.96;1177.9,525.87;992.8,532.11
00014280.png 984.85,462.64;1164.45,456.05;1178.53,534;989.66,541.63
00014314.png 980.99,466.14;1163,457.91;1176.31,538.9;984.85,547.12
00014347.png 970.07,466.7;1156.2,458.73;1168.56,541.19;976.94,549.85
00014381.png 960.83,466.67;1150.4,456.97;1165.16,542.2;967.7,550.86
00014414.png 953.37,466.18;1144.3,457.52;1159.76,544.14;960.23,554.18
00014447.png 943.72,468.68;1138.23,456.84;1155,545.65;952.1,559.18
00014481.png 933.56,470.28;1132.06,457.81;1148.89,551;941.12,562.44
00014514.png 924.36,470.81;1126.42,461.5;1143.19,555.39;931.07,568.08
00014547.png 914.56,473.77;1120.27,461.99;1137.78,560.03;923.15,572.5
00014581.png 906.33,477.79;1116.24,465.49;1133.01,567.06;913.09,579.59
00014614.png 898.84,482.63;1115.09,470.72;1131.72,576.28;905.28,589.27
00014647.png 893.19,489.84;1113.74,478.24;1129.27,587.96;898.47,599.87
00014681.png 883.4,500.06;1112.46,489.32;1129.28,605.73;887.86,617.51
00014714.png 878.68,507.01;1112.11,496.95;1127.99,617.08;882.21,627.14
00014748.png 875.14,510.66;1114.84,501.66;1128.92,627.42;876.86,637.46
00014781.png 872.77,515.53;1117.58,505.38;1131,634.62;874.78,645.45
00014814.png 874.45,516.38;1124.46,505.99;1138.54,642.83;876.17,649.42
00014848.png 878.2,513.8;1133.18,505.57;1146.92,644.15;878.63,651.08
00014881.png 879.89,512.18;1139.51,504.21;1153.25,646.61;879.89,653.19
00014914.png 880.29,510.67;1143.21,503.9;1156.61,648.62;880.16,656.24
00014948.png 881.61,508.92;1149.48,501.99;1162.18,651.31;880.58,658.24
00014981.png 883.65,508.44;1157.7,500.12;1171.09,653.95;883.31,662.61
00015015.png 887.07,509.4;1165.56,502.36;1178.93,660.34;887.03,666.93
00015048.png 888.88,509.95;1173.92,501.29;1187.65,666.29;889.31,673.22
00015081.png 887.87,511.66;1177.71,501.61;1193.17,668.26;888.9,679
00015115.png 881.71,509.86;1180.05,497.95;1197.22,674.43;883.86,684.71
00015148.png 876.31,508.51;1183.23,493.78;1202.12,676.1;881.03,689.96
00015181.png 874.88,506.71;1188.44,489.79;1208.57,676.72;881.59,692.79
00015215.png 872.93,506.03;1193.2,487.42;1215.84,680.27;881.31,699.72
00015248.png 868.5,503.41;1193.5,481.86;1219.05,678.25;879.22,700.2
00015281.png 863.5,502.55;1195.32,478.73;1222.8,679.67;875.09,706.95
00015315.png 853.93,502.78;1193.91,474.63;1223.96,682.07;868.53,713.25
00015348.png 844.69,497.33;1190.11,466.88;1222.81,679.19;862.29,713.02
00015382.png 835.49,498.13;1186.95,463.62;1221.16,682.18;851.58,719.4
00015415.png 820.16,496.94;1179.63,459.94;1214.21,679.85;842.16,721.08
00015448.png 806.54,496.25;1168.73,457.01;1204.95,685.04;828.67,726.99
00015482.png 795.87,495.66;1166.11,456.68;1203.68,687.83;820.02,729.51
00015515.png 788.21,494.93;1162.74,455.41;1199.23,690.89;811.82,732.57
00015548.png 776.88,492.99;1160.45,455.99;1200.27,697.05;803.08,741.45
00015582.png 774.94,494.42;1165.57,456.53;1202.6,704.45;799.08,745.05
00015615.png 770.88,491.05;1167.28,456.54;1202.83,708.26;792.34,746.83
00015648.png 765.9,486.25;1170.02,454.95;1202.71,708.7;788.54,745.91
00015682.png 763.74,477.01;1173.56,446.56;1206.43,711.13;777.83,746.32
00015715.png 754.52,467.49;1175.07,438.4;1206.6,708.39;770.62,740.19
00015749.png 746.35,460.25;1176.46,434.03;1204.96,712.3;760.6,740.22
00015782.png 735.38,451.72;1175.38,427.9;1200.06,708.31;748.26,735.92
00015815.png 720.7,437.49;1170.93,416.35;1192.73,703.08;733.28,729.3
00015849.png 708.89,427.47;1168.34,407.17;1186.78,698.98;720.62,723.51
00015882.png 702.83,417.39;1169.66,400.47;1189.11,699.56;710.88,719.86
