00000033.png 767.33,244;1281.34,245.17;1295.67,762.46;757.65,759.64
00011711.png 696.8,297.29;1162.24,295.81;1206.8,697.73;667.56,705.22
00011745.png 707.66,306.41;1149.03,305.21;1190.61,679.44;679.76,685.48
00011778.png 715.42,308.84;1135.92,308.19;1174.8,658.68;690.49,665.2
00011811.png 737.93,312.19;1117.75,310.01;1150.58,614.9;718.47,621.37
00011845.png 747.15,308.03;1112.03,305.28;1144.09,592.97;730.97,599.85
00011878.png 759.21,304.1;1105.83,301.05;1136.5,569.69;742.47,576.04
00011911.png 772.3,290.09;1095.84,284.88;1123.78,528.6;759.73,536.95
00011945.png 776.94,279.87;1094.55,274.42;1119.84,508.33;766.11,517.12
00011978.png 782.36,269.67;1091.8,262.49;1117.6,489.54;772.95,498.88
00012012.png 791.73,253.57;1091.77,244.93;1117.58,462.18;784.79,472.69
00012045.png 796.1,246.45;1093.68,236.96;1119.81,452.62;788.46,462.62
00012078.png 798.18,240.43;1098.56,229.78;1122.91,447.75;790.54,459.14
00012112.png 798.9,239.7;1107.31,230.04;1135.85,455.87;790.13,470.7
00012145.png 794.58,242.28;1115.5,229.86;1145.3,469.23;787.96,484.38
00012178.png 793.28,245.25;1126.04,234.27;1157.33,486.9;783.75,499.92
00012212.png 777.41,249.67;1148.57,237.87;1187.81,531.58;764.18,546.66
00012245.png 768.76,248.94;1164.3,237.19;1207.59,557.37;752.78,573
00012278.png 755.19,249.41;1177.48,237.62;1224.95,581.19;737.34,598.05
00012312.png 725.44,256.02;1205.58,243.17;1264.4,656.83;700.62,671.91
00012345.png 714.79,273.16;1213.8,259.49;1274.45,697.92;685.85,715.02
00012379.png 699.53,282.7;1221.47,269.91;1288.39,735.71;664.67,753.91
00012412.png 677.38,303.15;1214.87,291.42;1278.45,777.98;638.15,795.37
00012445.png 672.9,312.59;1208.38,301.39;1270.37,785.88;634.83,800.59
00012479.png 674.9,313.99;1202.24,304.21;1260.98,777.6;639.82,791.09
00012512.png 695.69,314.77;1183.98,306.82;1234.59,732.98;665.34,745.09
00012545.png 705.72,304.93;1172.95,296.45;1220.82,699.44;678.33,709.44
00012579.png 718.71,296.89;1159.67,290.87;1201.07,663.71;695.42,673.34
00012612.png 741.98,263.23;1141.69,257.33;1177.73,582.98;722.28,591.31
00012645.png 752.63,246.27;1132.61,240.86;1165.56,544.61;735.69,552.91
00012679.png 766.87,231.4;1124.83,225.72;1155.06,505.35;750.84,514.33
00012712.png 782.1,194.92;1115.59,189.04;1141.16,440.19;768.97,447.88
00012746.png 782.46,181.57;1107.52,175.91;1132.65,416.92;769.89,425.05
00012779.png 784.48,166.15;1103.89,159.49;1127.38,396.43;771.84,403.1
00012812.png 788.29,158.23;1098.05,153.53;1120.38,378.58;774.75,384.88
00012846.png 786.8,155.08;1098.39,150.54;1119.2,376.38;773.63,382.71
00012879.png 786.87,162.11;1097.58,157.86;1119.45,384.16;773.45,391.23
00012912.png 780.38,186.46;1101.6,184.34;1125.09,422.2;765.33,427.65
00012946.png 775.95,200.08;1106.22,199.03;1130.14,447.73;759.01,451.72
00012979.png 769.5,219.86;1110.89,219.56;1135.88,481.05;750.54,486.5
00013013.png 749.86,250.76;1128.12,251.84;1159.44,561.26;723.3,563.33
00013046.png 738.25,266.92;1140.21,269.4;1174.54,597.47;708.25,597.24
00013079.png 722.44,268.75;1157.49,272.61;1195.69,639.01;689.64,637.2
00013113.png 693.44,276.35;1179.45,280.46;1226.94,706.57;651.1,704.69
00013146.png 668.37,256.57;1189.77,261.65;1240.29,720.17;621.05,720.26
00013179.png 653.53,249.54;1186.6,254.62;1239.24,722.75;606.85,721.8
00013213.png 627.47,216.42;1188.11,218.88;1242.74,719.96;578.58,726.47
00013246.png 618.01,205.58;1184.14,205.97;1238.85,713.35;571.07,721.2
00013279.png 617.61,203.92;1180.44,204.47;1236.17,711.1;571.55,719.61
00013313.png 615.83,197.56;1181.13,195.46;1236,708.4;570.72,717.24
00013346.png 618,200.71;1182.7,197.61;1237.59,710.52;573.9,720.3
00013380.png 618.81,202.52;1182.81,199.89;1236.79,713.07;575.22,722.61
00013413.png 622.45,212.48;1180.68,210.95;1233.18,719.89;579.88,730.38
00013446.png 624.34,218.99;1179.26,216.82;1231.6,723;581.97,733.13
00013480.png 625.13,222.87;1177.15,220.93;1229.19,725.8;582.82,735.83
00013513.png 625.43,230.77;1172.44,228.65;1223.31,729.2;584.79,739.2
00013546.png 625.26,232.46;1171.95,230.78;1220.47,730.61;583.43,740.48
00013580.png 626.56,234.63;1170.07,233.34;1218.58,729.22;585.04,738.11
00013613.png 632.59,231.35;1171.63,229.85;1219.64,721.32;593.3,730.87
00013646.png 634.51,231.38;1172.19,229.09;1219.42,720.93;594.8,728.95
00013680.png 635.03,232.04;1170.95,230.2;1216.92,720.28;595.58,727.51
00013713.png 634.93,234.61;1168.46,234.01;1213.84,720.69;595.59,728.72
00013747.png 635.61,235.52;1166.71,233.59;1210.26,718.91;595.2,727.15
00013780.png 635.1,234.25;1167.72,232.17;1210.92,718.77;593.78,726.39
00013813.png 635.07,231.47;1167.8,229.11;1212.07,717.2;593.76,725.18
00013847.png 637.42,228.55;1171.51,226.17;1214.76,715.41;597.06,722.2
00013880.png 640.35,225.03;1174.22,222.67;1218.19,711.97;598.87,718.66
00013913.png 643.01,219.68;1177.86,218.37;1223.14,705.15;602.58,712.84
00013947.png 649.38,213.69;1184.74,211.4;1228.77,701.77;609.23,707.89
00013980.png 651.77,210.09;1186.54,208.23;1231.12,698.31;612.26,704.68
